ts,wave,type,bal_before,pnl_net,fees_paid,bal_after,entry,size_units
2025-10-09 16:00:00,3,SL_RESET,10000.0,-32.21,2.21,9967.79,121712.16,0.022785
2025-10-16 12:00:00,3,SL_RESET,9967.79,-31.5,1.6,9936.29,111039.64,0.018144
2025-10-27 04:00:00,7,TP_CONT,9936.29,115.1,1.33,10051.39,107948.01,0.014917
2025-10-29 16:00:00,9,SL_RESET,10051.39,-31.9,1.74,10019.49,111858.81,0.019603
2025-11-03 12:00:00,3,SL_RESET,10019.49,-31.43,1.37,9988.07,107974.32,0.015984
2025-11-12 16:00:00,3,SL_RESET,9988.07,-31.51,1.54,9956.56,102781.69,0.018929
2025-11-20 16:00:00,3,SL_RESET,9956.56,-31.45,1.58,9925.11,89820.73,0.02221
2025-12-01 04:00:00,3,SL_RESET,9925.11,-30.98,1.2,9894.13,87897.48,0.017283
2025-12-15 16:00:00,9,SL_RESET,9894.13,-30.71,1.03,9863.42,88070.88,0.014717
2025-12-18 20:00:00,3,SL_RESET,9863.42,-31.13,1.54,9832.29,86458.93,0.022448
2025-12-23 04:00:00,9,SL_RESET,9832.29,-32.03,2.53,9800.26,88280.62,0.035986
2026-01-04 00:00:00,3,TP_CONT,9800.26,109.9,1.9,9910.16,87373.56,0.026609
2026-01-08 12:00:00,7,SL_RESET,9910.16,-31.35,1.62,9878.8,90853.67,0.022467
2026-01-13 12:00:00,3,TP_CONT,9878.8,102.49,3.26,9981.29,90659.9,0.044407
2026-01-20 12:00:00,7,SL_RESET,9981.29,-31.05,1.1,9950.25,91953.86,0.015139
2026-01-29 12:00:00,3,SL_RESET,9950.25,-32.03,2.18,9918.22,87831.85,0.031133
2026-01-31 12:00:00,3,SL_RESET,9918.22,-30.57,0.82,9887.64,83302.25,0.012485
2026-02-11 12:00:00,5,SL_RESET,9887.64,-30.68,1.02,9856.97,67566.72,0.019005
2026-02-19 12:00:00,9,SL_RESET,9856.97,-30.79,1.22,9826.18,67059.0,0.022907
2026-02-23 04:00:00,5,SL_RESET,9826.18,-31.4,1.93,9794.77,66337.61,0.036506
2026-02-25 20:00:00,3,TP_CONT,9794.77,114.95,1.07,9909.72,63798.09,0.020143
2026-03-04 08:00:00,5,TP_CONT,9909.72,117.72,0.86,10027.44,64225.05,0.015765
2026-03-08 20:00:00,3,SL_RESET,10027.44,-30.9,0.82,9996.54,67991.96,0.015208
