ts,wave,type,bal_before,pnl_net,fees_paid,bal_after,entry,size_units
2025-10-09 16:00:00,3,SL_RESET_TO_W2,10000.0,-32.21,2.21,9967.79,121712.16,0.022785
2025-10-26 20:00:00,3,TP_CONT,9967.79,60.26,0.6,10028.05,105809.36,0.006805
2025-10-29 16:00:00,7,SL_RESET_TO_W2,10028.05,-31.82,1.74,9996.23,111858.81,0.019558
2025-11-03 12:00:00,3,SL_RESET_TO_W2,9996.23,-31.35,1.37,9964.88,107974.32,0.015947
2025-11-12 16:00:00,3,SL_RESET_TO_W2,9964.88,-31.44,1.54,9933.44,102781.69,0.018885
2025-11-20 16:00:00,3,SL_RESET_TO_W2,9933.44,-31.38,1.58,9902.06,89820.73,0.022158
2025-11-26 16:00:00,3,TP_CONT,9902.06,59.61,0.67,9961.67,83612.0,0.009606
2025-12-01 04:00:00,7,SL_RESET_TO_W2,9961.67,-31.09,1.21,9930.58,87897.48,0.017346
2025-12-08 08:00:00,9,TP_CYCLE_END_W9,9930.58,58.35,1.06,9988.93,88070.88,0.014771
2025-12-11 20:00:00,7,TP_CONT,9988.93,58.02,1.26,10046.95,89336.08,0.017264
2025-12-14 08:00:00,9,SL_RESET_TO_W2,10046.95,-31.72,1.58,10015.23,90485.2,0.02193
2025-12-18 20:00:00,3,SL_RESET_TO_W2,10015.23,-31.61,1.56,9983.62,86458.93,0.022794
2025-12-23 04:00:00,9,SL_RESET_TO_W2,9983.62,-32.52,2.57,9951.1,88280.62,0.03654
2025-12-26 04:00:00,3,TP_CONT,9951.1,55.42,1.91,10006.52,87373.56,0.027019
2025-12-29 00:00:00,5,TP_CONT,10006.52,53.75,2.47,10060.28,87123.62,0.035111
2025-12-29 12:00:00,9,SL_RESET_TO_W2,10060.28,-32.67,2.49,10027.6,87963.9,0.035586
2026-01-02 08:00:00,3,TP_CONT,10027.6,54.74,2.23,10082.34,87627.22,0.031534
2026-01-08 12:00:00,5,SL_RESET_TO_W2,10082.34,-31.9,1.65,10050.45,90853.67,0.022857
2026-01-12 16:00:00,3,TP_CONT,10050.45,51.04,3.3,10101.48,90659.9,0.045179
2026-01-20 12:00:00,3,SL_RESET_TO_W2,10101.48,-31.42,1.11,10070.06,91953.86,0.015321
2026-01-29 12:00:00,3,SL_RESET_TO_W2,10070.06,-32.41,2.2,10037.65,87831.85,0.031508
2026-01-31 12:00:00,3,SL_RESET_TO_W2,10037.65,-30.94,0.83,10006.71,83302.25,0.012635
2026-02-11 12:00:00,5,SL_RESET_TO_W2,10006.71,-31.05,1.03,9975.66,67566.72,0.019234
2026-02-19 12:00:00,9,SL_RESET_TO_W2,9975.66,-31.16,1.23,9944.5,67059.0,0.023182
2026-02-23 04:00:00,5,SL_RESET_TO_W2,9944.5,-31.78,1.95,9912.72,66337.61,0.036945
2026-02-25 12:00:00,3,TP_CONT,9912.72,58.24,1.06,9970.96,63798.09,0.020385
2026-03-01 00:00:00,9,TP_CYCLE_END_W9,9970.96,59.42,0.84,10030.38,64225.05,0.015863
2026-03-13 00:00:00,5,TP_CONT,10030.38,60.05,0.77,10090.42,67349.3,0.013802
